Borehole	x	y	z_terrain
2020-07	312.75	954.99	178.5
2020-29	177.75	844.99	164.1
2020-30	159.75	718.99	160.2
2020-31	273.75	800.99	170.1
2020-32	294.75	833.99	173.6
2020-36	483.75	681.99	178.8
2020-37	431.75	736.99	178.8
2020-41	302.75	882.99	176.9
2020-45	430.75	864.99	179.9
2020-46	407.75	821.99	179.4
2020-48	183.75	671.99	159.3
2020-49	168.75	631.99	156.3
2020-50	203.75	631.99	159.4
2020-51	212.75	570.99	158.7
2020-54	225.75	612.99	160
2020-120	272.55	338.39	151.2
2020-121	300.45	288.89	150.7
2020-122	134.05	278.49	154
2020-123	128.85	371.19	156.5
2020-125	337.55	414.89	151.8
2020-132	444.35	583.49	178.4
2020-133	497.35	499.99	174.8
2020-134	501.75	404.29	175
2020-135	469.45	328.49	173.4
2020-136	477.85	259.49	173.4
2020-137	473.85	128.59	153.8
2020-138	450.25	313.89	173.9
2020-139	476.65	489.59	176.1
2020-140	369.85	284.29	151.4
2020-141	306.15	389.39	151.4
2020-142	365.05	438.99	152.5
2020-152	250.55	611.39	161.6
2020-153	262.05	592.79	163.2
